Shelfmark,Preferred sigla,Schümmer sigla,Science sigla,NIMEV,Images
"Cambridge, CUL, MS Additional 3573 (olim Phillips 9472)",A,none,A,10,
"Cambridge, CUL, MS Gg.4.18",C,C,C,9,
"Cambridge, Fitzwilliam Museum, MS McClean 184",F,none,F,12,
"Cambridge, St. John’s College, MS G.29 (196)",J,none,J,11,
"Chicago, Newberry Library, MS f36",Nb,none,none,22,
"Copenhagen, Køngelige Bibliotek, MS Thott 304 2<sup>o</sup>",Th,none,none,20,<http://www.kb.dk/permalink/2006/manus/627/eng/>
"Durham, Durham University Library, MS Cosin V.ii.15",D,D,D,17,
"Lincoln, Lincoln Cathedral Library, MS 103 (olim A.4.11)",L,L,L,18,
"London, British Library, MS Harley 43",H,H1,H,13,
"London, British Library, MS Harley 44",H2,H2,h,14,
"London, British Library, Royal MS 18.A.XIII",R,R,R,15,
"London, British Library, Sloane MS 554",Sl,Sl,none,16,
"London, Society of Antiquaries, MS 134",Sa,none,none,19,
"New Haven, Beinecke Library, Osborn MS fa43 (olim Schøyen)",O,none,none,24,<https://collections.library.yale.edu/catalog/2013983>
"Oxford, Balliol College Library, MS 316A",Ba,Ba,Ba,4,<https://www.flickr.com/photos/balliolarchivist/sets/72157637313191683/>
"Oxford, Balliol College Library, MS 316B",Bb,Bb,Bb,5,<https://www.flickr.com/photos/balliolarchivist/sets/72157638519589724/>
"Oxford, Bodleian Library, MS Douce 100 (SC 21674)",Dc,none,Dc,3,
"Oxford, Bodleian Library, MS e Museo 53 (SC 3588)",M,M,M,1,
"Oxford, Bodleian Library, MS Rawlinson poet. 151 (SC 14643)",Ra,Ra,Rl,2,
"Oxford, Christ Church, MS 151",Ch,none,Ch,6,
"Oxford, New College, MS 319",N,N,N,7,
"Oxford, Trinity College, MS 21",T,Tr,T,8,
"Philadelphia, Rosenbach Museum and Library, MS 1083/30 (olim Phillipps 1099)",Ph,Ph,P,23,<https://bibliophilly.library.upenn.edu/viewer.php?id=MS%201083/30#page/1/mode/2up>
STC 3200 The boke of comfort called in laten Boetius de Consolatione philosophie,P,Pr,P,A,EEBO [the imperfect Folger copy]
